"Number in population by employment status, grounds for settlement, number of years in Sweden, region of birth, sex, age and year"

"employment status","grounds for settlement","number of years in Sweden","region of birth","sex","age","2020","2021","2022","2023"
"gainfully employed population","other/GFS not relevant","data not available","Africa","total","40-49 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","Africa","total","50-59 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","Africa","total","60-64 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","Africa","total","65-69 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","Africa","total","70-74 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","Asia","total","total",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","Asia","total","20-24 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","Asia","total","25-29 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","Asia","total","30-39 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","Asia","total","40-49 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","Asia","total","50-59 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","Asia","total","60-64 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","Asia","total","65-69 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","Asia","total","70-74 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","rest of the world, incl. Soviet Union","total","total",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","rest of the world, incl. Soviet Union","total","20-24 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","rest of the world, incl. Soviet Union","total","25-29 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","rest of the world, incl. Soviet Union","total","30-39 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","rest of the world, incl. Soviet Union","total","40-49 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","rest of the world, incl. Soviet Union","total","50-59 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","rest of the world, incl. Soviet Union","total","60-64 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","rest of the world, incl. Soviet Union","total","65-69 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","rest of the world, incl. Soviet Union","total","70-74 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","unknown","total","total",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","unknown","total","20-24 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","unknown","total","25-29 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","unknown","total","30-39 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","unknown","total","40-49 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","unknown","total","50-59 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","unknown","total","60-64 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","unknown","total","65-69 years",0,0,0,0
"gainfully employed population","other/GFS not relevant","data not available","unknown","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","total","total","total","total",260136,264185,273926,280979
"gainfully employed population","data not available","total","total","total","20-24 years",10043,10873,12267,13138
"gainfully employed population","data not available","total","total","total","25-29 years",22789,22724,24416,25413
"gainfully employed population","data not available","total","total","total","30-39 years",58839,59773,62220,63788
"gainfully employed population","data not available","total","total","total","40-49 years",62967,64728,67123,68931
"gainfully employed population","data not available","total","total","total","50-59 years",59818,59972,61278,62031
"gainfully employed population","data not available","total","total","total","60-64 years",26854,26613,26590,27198
"gainfully employed population","data not available","total","total","total","65-69 years",12621,12894,13199,13678
"gainfully employed population","data not available","total","total","total","70-74 years",6201,6607,6836,6805
"gainfully employed population","data not available","total","Sweden","total","total",0,0,0,0
"gainfully employed population","data not available","total","Sweden","total","20-24 years",0,0,0,0
"gainfully employed population","data not available","total","Sweden","total","25-29 years",0,0,0,0
"gainfully employed population","data not available","total","Sweden","total","30-39 years",0,0,0,0
"gainfully employed population","data not available","total","Sweden","total","40-49 years",0,0,0,0
"gainfully employed population","data not available","total","Sweden","total","50-59 years",0,0,0,0
"gainfully employed population","data not available","total","Sweden","total","60-64 years",0,0,0,0
"gainfully employed population","data not available","total","Sweden","total","65-69 years",0,0,0,0
"gainfully employed population","data not available","total","Sweden","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","total","Europe, excl. Sweden","total","total",200358,203458,211668,218338
"gainfully employed population","data not available","total","Europe, excl. Sweden","total","20-24 years",7962,8522,9645,10412
"gainfully employed population","data not available","total","Europe, excl. Sweden","total","25-29 years",20046,19858,21225,22084
"gainfully employed population","data not available","total","Europe, excl. Sweden","total","30-39 years",45285,47395,50906,53595
"gainfully employed population","data not available","total","Europe, excl. Sweden","total","40-49 years",41191,42266,44259,46156
"gainfully employed population","data not available","total","Europe, excl. Sweden","total","50-59 years",48457,47711,47750,47331
"gainfully employed population","data not available","total","Europe, excl. Sweden","total","60-64 years",22049,21879,21791,22430
"gainfully employed population","data not available","total","Europe, excl. Sweden","total","65-69 years",10102,10272,10470,10848
"gainfully employed population","data not available","total","Europe, excl. Sweden","total","70-74 years",5266,5555,5619,5482
"gainfully employed population","data not available","total","Africa","total","total",6652,6696,6872,6941
"gainfully employed population","data not available","total","Africa","total","20-24 years",252,298,321,392
"gainfully employed population","data not available","total","Africa","total","25-29 years",389,407,440,453
"gainfully employed population","data not available","total","Africa","total","30-39 years",1236,1203,1224,1176
"gainfully employed population","data not available","total","Africa","total","40-49 years",1758,1737,1716,1714
"gainfully employed population","data not available","total","Africa","total","50-59 years",1454,1487,1575,1644
"gainfully employed population","data not available","total","Africa","total","60-64 years",845,781,770,721
"gainfully employed population","data not available","total","Africa","total","65-69 years",527,558,541,543
"gainfully employed population","data not available","total","Africa","total","70-74 years",198,226,277,303
"gainfully employed population","data not available","total","Asia","total","total",32860,33141,33741,33786
"gainfully employed population","data not available","total","Asia","total","20-24 years",819,918,1052,1050
"gainfully employed population","data not available","total","Asia","total","25-29 years",931,910,1030,1144
"gainfully employed population","data not available","total","Asia","total","30-39 years",7728,6772,5774,4808
"gainfully employed population","data not available","total","Asia","total","40-49 years",12866,13310,13596,13553
"gainfully employed population","data not available","total","Asia","total","50-59 years",6401,6978,7780,8516
"gainfully employed population","data not available","total","Asia","total","60-64 years",2558,2551,2630,2644
"gainfully employed population","data not available","total","Asia","total","65-69 years",1167,1253,1366,1479
"gainfully employed population","data not available","total","Asia","total","70-74 years",387,447,517,586
"gainfully employed population","data not available","total","rest of the world, incl. Soviet Union","total","total",20089,20718,21466,21737
"gainfully employed population","data not available","total","rest of the world, incl. Soviet Union","total","20-24 years",997,1115,1235,1275
"gainfully employed population","data not available","total","rest of the world, incl. Soviet Union","total","25-29 years",1386,1525,1692,1698
"gainfully employed population","data not available","total","rest of the world, incl. Soviet Union","total","30-39 years",4538,4351,4259,4152
"gainfully employed population","data not available","total","rest of the world, incl. Soviet Union","total","40-49 years",7110,7375,7512,7461
"gainfully employed population","data not available","total","rest of the world, incl. Soviet Union","total","50-59 years",3477,3765,4144,4518
"gainfully employed population","data not available","total","rest of the world, incl. Soviet Union","total","60-64 years",1402,1392,1389,1394
"gainfully employed population","data not available","total","rest of the world, incl. Soviet Union","total","65-69 years",825,812,819,801
"gainfully employed population","data not available","total","rest of the world, incl. Soviet Union","total","70-74 years",349,378,422,433
"gainfully employed population","data not available","total","unknown","total","total",175,180,180,174
"gainfully employed population","data not available","total","unknown","total","20-24 years",16,16,16,6
"gainfully employed population","data not available","total","unknown","total","25-29 years",29,28,31,30
"gainfully employed population","data not available","total","unknown","total","30-39 years",52,52,51,53
"gainfully employed population","data not available","total","unknown","total","40-49 years",47,45,45,48
"gainfully employed population","data not available","total","unknown","total","50-59 years",32,27,26,25
"gainfully employed population","data not available","total","unknown","total","60-64 years",5,9,9,10
"gainfully employed population","data not available","total","unknown","total","65-69 years",3,0,3,5
"gainfully employed population","data not available","total","unknown","total","70-74 years",3,0,3,3
"gainfully employed population","data not available","born in Sweden","total","total","total",0,0,0,0
"gainfully employed population","data not available","born in Sweden","total","total","20-24 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","total","total","25-29 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","total","total","30-39 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","total","total","40-49 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","total","total","50-59 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","total","total","60-64 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","total","total","65-69 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","total","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Sweden","total","total",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Sweden","total","20-24 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Sweden","total","25-29 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Sweden","total","30-39 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Sweden","total","40-49 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Sweden","total","50-59 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Sweden","total","60-64 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Sweden","total","65-69 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Sweden","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Europe, excl. Sweden","total","total",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Europe, excl. Sweden","total","20-24 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Europe, excl. Sweden","total","25-29 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Europe, excl. Sweden","total","30-39 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Europe, excl. Sweden","total","40-49 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Europe, excl. Sweden","total","50-59 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Europe, excl. Sweden","total","60-64 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Europe, excl. Sweden","total","65-69 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Europe, excl. Sweden","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Africa","total","total",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Africa","total","20-24 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Africa","total","25-29 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Africa","total","30-39 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Africa","total","40-49 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Africa","total","50-59 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Africa","total","60-64 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Africa","total","65-69 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Africa","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Asia","total","total",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Asia","total","20-24 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Asia","total","25-29 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Asia","total","30-39 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Asia","total","40-49 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Asia","total","50-59 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Asia","total","60-64 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Asia","total","65-69 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","Asia","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","rest of the world, incl. Soviet Union","total","total",0,0,0,0
"gainfully employed population","data not available","born in Sweden","rest of the world, incl. Soviet Union","total","20-24 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","rest of the world, incl. Soviet Union","total","25-29 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","rest of the world, incl. Soviet Union","total","30-39 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","rest of the world, incl. Soviet Union","total","40-49 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","rest of the world, incl. Soviet Union","total","50-59 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","rest of the world, incl. Soviet Union","total","60-64 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","rest of the world, incl. Soviet Union","total","65-69 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","rest of the world, incl. Soviet Union","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","unknown","total","total",0,0,0,0
"gainfully employed population","data not available","born in Sweden","unknown","total","20-24 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","unknown","total","25-29 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","unknown","total","30-39 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","unknown","total","40-49 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","unknown","total","50-59 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","unknown","total","60-64 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","unknown","total","65-69 years",0,0,0,0
"gainfully employed population","data not available","born in Sweden","unknown","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","0-3 years","total","total","total",46148,42464,45072,48597
"gainfully employed population","data not available","0-3 years","total","total","20-24 years",4110,4027,4774,5281
"gainfully employed population","data not available","0-3 years","total","total","25-29 years",11886,10802,11394,12041
"gainfully employed population","data not available","0-3 years","total","total","30-39 years",17796,16181,16574,17268
"gainfully employed population","data not available","0-3 years","total","total","40-49 years",8461,7663,8131,9033
"gainfully employed population","data not available","0-3 years","total","total","50-59 years",3186,3113,3465,4066
"gainfully employed population","data not available","0-3 years","total","total","60-64 years",509,491,531,657
"gainfully employed population","data not available","0-3 years","total","total","65-69 years",147,137,153,197
"gainfully employed population","data not available","0-3 years","total","total","70-74 years",46,47,53,65
"gainfully employed population","data not available","0-3 years","Sweden","total","total",0,0,0,0
"gainfully employed population","data not available","0-3 years","Sweden","total","20-24 years",0,0,0,0
"gainfully employed population","data not available","0-3 years","Sweden","total","25-29 years",0,0,0,0
"gainfully employed population","data not available","0-3 years","Sweden","total","30-39 years",0,0,0,0
"gainfully employed population","data not available","0-3 years","Sweden","total","40-49 years",0,0,0,0
"gainfully employed population","data not available","0-3 years","Sweden","total","50-59 years",0,0,0,0
"gainfully employed population","data not available","0-3 years","Sweden","total","60-64 years",0,0,0,0
"gainfully employed population","data not available","0-3 years","Sweden","total","65-69 years",0,0,0,0
"gainfully employed population","data not available","0-3 years","Sweden","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","0-3 years","Europe, excl. Sweden","total","total",42526,39122,41388,44657
"gainfully employed population","data not available","0-3 years","Europe, excl. Sweden","total","20-24 years",3794,3708,4396,4883
"gainfully employed population","data not available","0-3 years","Europe, excl. Sweden","total","25-29 years",11166,10100,10612,11233
"gainfully employed population","data not available","0-3 years","Europe, excl. Sweden","total","30-39 years",16319,14813,15120,15741
"gainfully employed population","data not available","0-3 years","Europe, excl. Sweden","total","40-49 years",7698,7021,7422,8233
"gainfully employed population","data not available","0-3 years","Europe, excl. Sweden","total","50-59 years",2897,2855,3153,3721
"gainfully employed population","data not available","0-3 years","Europe, excl. Sweden","total","60-64 years",472,455,495,607
"gainfully employed population","data not available","0-3 years","Europe, excl. Sweden","total","65-69 years",141,126,140,182
"gainfully employed population","data not available","0-3 years","Europe, excl. Sweden","total","70-74 years",38,45,45,58
"gainfully employed population","data not available","0-3 years","Africa","total","total",737,621,677,705
"gainfully employed population","data not available","0-3 years","Africa","total","20-24 years",50,48,69,79
"gainfully employed population","data not available","0-3 years","Africa","total","25-29 years",127,103,110,98
"gainfully employed population","data not available","0-3 years","Africa","total","30-39 years",287,253,275,271
"gainfully employed population","data not available","0-3 years","Africa","total","40-49 years",189,138,145,155
"gainfully employed population","data not available","0-3 years","Africa","total","50-59 years",70,71,75,84
"gainfully employed population","data not available","0-3 years","Africa","total","60-64 years",8,6,7,14
"gainfully employed population","data not available","0-3 years","Africa","total","65-69 years",4,4,3,8
"gainfully employed population","data not available","0-3 years","Africa","total","70-74 years",3,0,0,0
"gainfully employed population","data not available","0-3 years","Asia","total","total",1301,1145,1184,1312
"gainfully employed population","data not available","0-3 years","Asia","total","20-24 years",127,106,116,99
"gainfully employed population","data not available","0-3 years","Asia","total","25-29 years",251,234,240,269
"gainfully employed population","data not available","0-3 years","Asia","total","30-39 years",523,477,464,497
"gainfully employed population","data not available","0-3 years","Asia","total","40-49 years",282,222,246,291
"gainfully employed population","data not available","0-3 years","Asia","total","50-59 years",100,86,99,128
"gainfully employed population","data not available","0-3 years","Asia","total","60-64 years",14,13,16,17
"gainfully employed population","data not available","0-3 years","Asia","total","65-69 years",4,3,4,3
"gainfully employed population","data not available","0-3 years","Asia","total","70-74 years",4,3,3,5
"gainfully employed population","data not available","0-3 years","rest of the world, incl. Soviet Union","total","total",1511,1524,1765,1881
"gainfully employed population","data not available","0-3 years","rest of the world, incl. Soviet Union","total","20-24 years",139,156,191,213
"gainfully employed population","data not available","0-3 years","rest of the world, incl. Soviet Union","total","25-29 years",335,362,426,429
"gainfully employed population","data not available","0-3 years","rest of the world, incl. Soviet Union","total","30-39 years",641,620,699,741
"gainfully employed population","data not available","0-3 years","rest of the world, incl. Soviet Union","total","40-49 years",279,266,304,340
"gainfully employed population","data not available","0-3 years","rest of the world, incl. Soviet Union","total","50-59 years",102,97,130,124
"gainfully employed population","data not available","0-3 years","rest of the world, incl. Soviet Union","total","60-64 years",15,15,15,18
"gainfully employed population","data not available","0-3 years","rest of the world, incl. Soviet Union","total","65-69 years",4,6,6,5
"gainfully employed population","data not available","0-3 years","rest of the world, incl. Soviet Union","total","70-74 years",3,3,0,4
"gainfully employed population","data not available","0-3 years","unknown","total","total",73,58,57,44
"gainfully employed population","data not available","0-3 years","unknown","total","20-24 years",5,5,10,4
"gainfully employed population","data not available","0-3 years","unknown","total","25-29 years",14,6,9,5
"gainfully employed population","data not available","0-3 years","unknown","total","30-39 years",26,21,18,14
"gainfully employed population","data not available","0-3 years","unknown","total","40-49 years",11,15,16,12
"gainfully employed population","data not available","0-3 years","unknown","total","50-59 years",12,8,10,5
"gainfully employed population","data not available","0-3 years","unknown","total","60-64 years",0,0,0,0
"gainfully employed population","data not available","0-3 years","unknown","total","65-69 years",0,0,0,0
"gainfully employed population","data not available","0-3 years","unknown","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","4-9 years","total","total","total",44186,51871,59267,62721
"gainfully employed population","data not available","4-9 years","total","total","20-24 years",1826,2116,2270,2347
"gainfully employed population","data not available","4-9 years","total","total","25-29 years",6485,7145,7730,7653
"gainfully employed population","data not available","4-9 years","total","total","30-39 years",19459,22873,25907,27428
"gainfully employed population","data not available","4-9 years","total","total","40-49 years",10783,12953,15237,16461
"gainfully employed population","data not available","4-9 years","total","total","50-59 years",4416,5398,6516,7045
"gainfully employed population","data not available","4-9 years","total","total","60-64 years",810,966,1167,1316
"gainfully employed population","data not available","4-9 years","total","total","65-69 years",249,273,281,332
"gainfully employed population","data not available","4-9 years","total","total","70-74 years",162,144,160,149
"gainfully employed population","data not available","4-9 years","Sweden","total","total",0,0,0,0
"gainfully employed population","data not available","4-9 years","Sweden","total","20-24 years",0,0,0,0
"gainfully employed population","data not available","4-9 years","Sweden","total","25-29 years",0,0,0,0
"gainfully employed population","data not available","4-9 years","Sweden","total","30-39 years",0,0,0,0
"gainfully employed population","data not available","4-9 years","Sweden","total","40-49 years",0,0,0,0
"gainfully employed population","data not available","4-9 years","Sweden","total","50-59 years",0,0,0,0
"gainfully employed population","data not available","4-9 years","Sweden","total","60-64 years",0,0,0,0
"gainfully employed population","data not available","4-9 years","Sweden","total","65-69 years",0,0,0,0
"gainfully employed population","data not available","4-9 years","Sweden","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","4-9 years","Europe, excl. Sweden","total","total",41003,48293,55168,58282
"gainfully employed population","data not available","4-9 years","Europe, excl. Sweden","total","20-24 years",1568,1824,1951,1987
"gainfully employed population","data not available","4-9 years","Europe, excl. Sweden","total","25-29 years",6106,6706,7226,7122
"gainfully employed population","data not available","4-9 years","Europe, excl. Sweden","total","30-39 years",18181,21478,24347,25755
"gainfully employed population","data not available","4-9 years","Europe, excl. Sweden","total","40-49 years",9984,12039,14141,15288
"gainfully employed population","data not available","4-9 years","Europe, excl. Sweden","total","50-59 years",4036,4967,6016,6482
"gainfully employed population","data not available","4-9 years","Europe, excl. Sweden","total","60-64 years",752,894,1079,1201
"gainfully employed population","data not available","4-9 years","Europe, excl. Sweden","total","65-69 years",221,251,264,314
"gainfully employed population","data not available","4-9 years","Europe, excl. Sweden","total","70-74 years",150,136,144,130
"gainfully employed population","data not available","4-9 years","Africa","total","total",580,662,750,809
"gainfully employed population","data not available","4-9 years","Africa","total","20-24 years",54,59,62,79
"gainfully employed population","data not available","4-9 years","Africa","total","25-29 years",54,61,81,84
"gainfully employed population","data not available","4-9 years","Africa","total","30-39 years",215,230,244,254
"gainfully employed population","data not available","4-9 years","Africa","total","40-49 years",171,197,229,231
"gainfully employed population","data not available","4-9 years","Africa","total","50-59 years",74,100,118,136
"gainfully employed population","data not available","4-9 years","Africa","total","60-64 years",9,10,13,20
"gainfully employed population","data not available","4-9 years","Africa","total","65-69 years",6,6,3,0
"gainfully employed population","data not available","4-9 years","Africa","total","70-74 years",4,0,0,3
"gainfully employed population","data not available","4-9 years","Asia","total","total",1312,1365,1532,1609
"gainfully employed population","data not available","4-9 years","Asia","total","20-24 years",81,89,100,121
"gainfully employed population","data not available","4-9 years","Asia","total","25-29 years",155,175,190,203
"gainfully employed population","data not available","4-9 years","Asia","total","30-39 years",558,564,626,617
"gainfully employed population","data not available","4-9 years","Asia","total","40-49 years",298,320,374,400
"gainfully employed population","data not available","4-9 years","Asia","total","50-59 years",172,176,195,217
"gainfully employed population","data not available","4-9 years","Asia","total","60-64 years",26,27,35,43
"gainfully employed population","data not available","4-9 years","Asia","total","65-69 years",16,11,3,6
"gainfully employed population","data not available","4-9 years","Asia","total","70-74 years",3,3,7,4
"gainfully employed population","data not available","4-9 years","rest of the world, incl. Soviet Union","total","total",1227,1467,1733,1935
"gainfully employed population","data not available","4-9 years","rest of the world, incl. Soviet Union","total","20-24 years",120,139,159,159
"gainfully employed population","data not available","4-9 years","rest of the world, incl. Soviet Union","total","25-29 years",162,185,221,233
"gainfully employed population","data not available","4-9 years","rest of the world, incl. Soviet Union","total","30-39 years",484,577,661,767
"gainfully employed population","data not available","4-9 years","rest of the world, incl. Soviet Union","total","40-49 years",315,379,469,517
"gainfully employed population","data not available","4-9 years","rest of the world, incl. Soviet Union","total","50-59 years",119,147,175,195
"gainfully employed population","data not available","4-9 years","rest of the world, incl. Soviet Union","total","60-64 years",20,30,37,44
"gainfully employed population","data not available","4-9 years","rest of the world, incl. Soviet Union","total","65-69 years",5,7,8,11
"gainfully employed population","data not available","4-9 years","rest of the world, incl. Soviet Union","total","70-74 years",3,3,5,6
"gainfully employed population","data not available","4-9 years","unknown","total","total",69,80,84,91
"gainfully employed population","data not available","4-9 years","unknown","total","20-24 years",0,4,3,0
"gainfully employed population","data not available","4-9 years","unknown","total","25-29 years",9,17,16,9
"gainfully employed population","data not available","4-9 years","unknown","total","30-39 years",22,29,27,35
"gainfully employed population","data not available","4-9 years","unknown","total","40-49 years",22,21,25,23
"gainfully employed population","data not available","4-9 years","unknown","total","50-59 years",9,10,12,11
"gainfully employed population","data not available","4-9 years","unknown","total","60-64 years",0,4,4,4
"gainfully employed population","data not available","4-9 years","unknown","total","65-69 years",3,3,0,0
"gainfully employed population","data not available","4-9 years","unknown","total","70-74 years",3,0,3,3
"gainfully employed population","data not available","10- years","total","total","total",169799,169851,169587,169659
"gainfully employed population","data not available","10- years","total","total","20-24 years",4106,4728,5218,5508
"gainfully employed population","data not available","10- years","total","total","25-29 years",4413,4777,5289,5727
"gainfully employed population","data not available","10- years","total","total","30-39 years",21578,20718,19743,19091
"gainfully employed population","data not available","10- years","total","total","40-49 years",43727,44117,43762,43435
"gainfully employed population","data not available","10- years","total","total","50-59 years",52221,51459,51296,50928
"gainfully employed population","data not available","10- years","total","total","60-64 years",25535,25153,24890,25227
"gainfully employed population","data not available","10- years","total","total","65-69 years",12222,12481,12763,13149
"gainfully employed population","data not available","10- years","total","total","70-74 years",5995,6416,6627,6594
"gainfully employed population","data not available","10- years","Sweden","total","total",0,0,0,0
"gainfully employed population","data not available","10- years","Sweden","total","20-24 years",0,0,0,0
"gainfully employed population","data not available","10- years","Sweden","total","25-29 years",0,0,0,0
"gainfully employed population","data not available","10- years","Sweden","total","30-39 years",0,0,0,0
"gainfully employed population","data not available","10- years","Sweden","total","40-49 years",0,0,0,0
"gainfully employed population","data not available","10- years","Sweden","total","50-59 years",0,0,0,0
"gainfully employed population","data not available","10- years","Sweden","total","60-64 years",0,0,0,0
"gainfully employed population","data not available","10- years","Sweden","total","65-69 years",0,0,0,0
"gainfully employed population","data not available","10- years","Sweden","total","70-74 years",0,0,0,0
"gainfully employed population","data not available","10- years","Europe, excl. Sweden","total","total",116828,116042,115114,115401
"gainfully employed population","data not available","10- years","Europe, excl. Sweden","total","20-24 years",2598,2986,3300,3543
"gainfully employed population","data not available","10- years","Europe, excl. Sweden","total","25-29 years",2777,3051,3388,3732
"gainfully employed population","data not available","10- years","Europe, excl. Sweden","total","30-39 years",10784,11105,11436,12100
"gainfully employed population","data not available","10- years","Europe, excl. Sweden","total","40-49 years",23508,23207,22697,22631
"gainfully employed population","data not available","10- years","Europe, excl. Sweden","total","50-59 years",41522,39895,38581,37129
"gainfully employed population","data not available","10- years","Europe, excl. Sweden","total","60-64 years",20826,20529,20218,20623
"gainfully employed population","data not available","10- years","Europe, excl. Sweden","total","65-69 years",9742,9889,10064,10357
"gainfully employed population","data not available","10- years","Europe, excl. Sweden","total","70-74 years",5076,5376,5429,5290
"gainfully employed population","data not available","10- years","Africa","total","total",5334,5410,5446,5432
"gainfully employed population","data not available","10- years","Africa","total","20-24 years",155,194,192,232
"gainfully employed population","data not available","10- years","Africa","total","25-29 years",212,239,253,268
"gainfully employed population","data not available","10- years","Africa","total","30-39 years",735,724,710,651
"gainfully employed population","data not available","10- years","Africa","total","40-49 years",1399,1405,1347,1330
"gainfully employed population","data not available","10- years","Africa","total","50-59 years",1304,1313,1386,1424
"gainfully employed population","data not available","10- years","Africa","total","60-64 years",827,765,747,687
"gainfully employed population","data not available","10- years","Africa","total","65-69 years",522,552,535,537
"gainfully employed population","data not available","10- years","Africa","total","70-74 years",192,225,273,301
"gainfully employed population","data not available","10- years","Asia","total","total",30247,30631,31019,30864
"gainfully employed population","data not available","10- years","Asia","total","20-24 years",610,721,835,828
"gainfully employed population","data not available","10- years","Asia","total","25-29 years",527,502,599,675
"gainfully employed population","data not available","10- years","Asia","total","30-39 years",6650,5732,4687,3695
"gainfully employed population","data not available","10- years","Asia","total","40-49 years",12290,12770,12973,12861
"gainfully employed population","data not available","10- years","Asia","total","50-59 years",6129,6719,7487,8171
"gainfully employed population","data not available","10- years","Asia","total","60-64 years",2512,2509,2578,2584
"gainfully employed population","data not available","10- years","Asia","total","65-69 years",1148,1239,1359,1467
"gainfully employed population","data not available","10- years","Asia","total","70-74 years",379,441,504,578
"gainfully employed population","data not available","10- years","rest of the world, incl. Soviet Union","total","total",17352,17727,17967,17923
"gainfully employed population","data not available","10- years","rest of the world, incl. Soviet Union","total","20-24 years",737,819,885,903
"gainfully employed population","data not available","10- years","rest of the world, incl. Soviet Union","total","25-29 years",892,974,1044,1036
